Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
 white oak,, eastern united states," 65-85 ft (20-25 m) tall, 3-4 ft (1-1.2 m) trunk diameter",47lbs/ft3 (755 kg/m3)," 1,350 lbf (5,990 n)"," 14,830 lbf/in2 (102.3 mpa)"," 1,762,000 lbf/in2 (12.15 gpa)"," 7,370 lbf/in2 (50.8 mpa)","radial 5.6%, tangential 10.5%, volumetric 16.3%, t/r ratio 1.9",rated as very durable; frequently used in boatbuilding and tight cooperage applications.,"produces good results with hand and machine tools. has moderately high shrinkage values, resulting in mediocre dimensional stability, especially in flatsawn boards. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
" bur oak, burr oak, mossycup oak",, eastern and midwestern united states and south-central canada," 80-100 ft (24-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 45 lbs/ft3 (725 kg/m3)," 1,360 lbf (6,030 n)"," 10,920 lbf/in2 (75.3 mpa)"," 1,040,000 lbf/in2 (7.17 gpa)","5,890 lbf/in2 (40.6 mpa)","radial 4.4%, tangential 8.8%, volumetric 12.7%, t/r ratio 2.0", bur oak has been rated as having very good resistance to decay.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 chestnut oak,, eastern united states," 60-70 ft (18-22 m) tall, 2-4 ft (.6-1.2 m) trunk diameter", 47 lbs/ft3 (750 kg/m3)," 1,130 lbf (5,030 n)"," 13,300 lbf/in2 (91.7 mpa)"," 1,590,000 lbf/in2 (11.00 gpa)"," 6,830 lbf/in2 (47.1 mpa)","radial 5.3%,tangential 10.8%, volumetric 16.4%, t/r ratio 2.0", chestnut oak has been rated as having very good resistance to decay.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
" english oak, european oak",," most of europe, to asia minor, and north africa"," 80-115 ft (24-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 42 lbs/ft3 (675 kg/m3)," 1,120 lbf (4,980 n)"," 14,100 lbf/in2 (97.1 mpa)"," 1,544,000 lbf/in2 (10.60 gpa)"," 6,720 lbf/in2 (46.3 mpa)","radial 4.7%, tangential 8.4%, volumetric 13.0%, t/r ratio 1.8"," english oak has been rated as having very good resistance to decay, and is commonly used in boatbuilding applications.","produces good results with hand and machine tools. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
" holm oak, holly oak",, mediterraneanbasin," 65-85 ft (20-25 m) tall, 3-4 ft (1-1.2 m) trunk diameter", 50 lbs/ft3 (800 kg/m3)," 1,610 lbf (7,150 n)", no data available*, no data available*, no data available*,"radial 4.6%, tangential 8.4%, volumetric 13.0%, t/r ratio 1.8", good rot resistance frequently used in boatbuilding applications.," easy to glue, and takes stain and finishes very well."," tools,cabinetry, furniture, winebarrels, turned objects, and firewood."
"japanese oak, mongolian oak",quercus mongolica,japan and eastern asia,"65-100 ft (20-30 m) tall, 2-3ft (.6-1 m) trunk diameter",43 lbs/ft3 (680 kg/m3),"1,200 lbf (5,320 n)*",no data available,"1,525,000 lbf/in2 (10.51 gpa)","8,290 lbf/in2 (57.2 mpa)",no data available,"reports are variable; japanese oak tends to have a wider proportion of sapwood, which makes it more vulnerable to insects/borers, as well as wood decay."," produces good results with hand and machine tools. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well.","boatbuilding, tight cooperage (whiskey barrels), veneer, and furniture."
 oregon white oak,, pacific northwestern united states," 65-85 ft (20-25 m) tall, 3-4 ft (1-1.2 m) trunk diameter", 51 lbs/ft3 (815 kg/m3)," 1,640 lbf (7,310 n)"," 10,200 lbf/in2 (70.3 mpa)"," 1,090,000 lbf/in2 (7.51 gpa)","7,320 lbf/in2 (50.5 mpa)","radial 4.2%, tangential 9.0%, volumetric 13.2%, t/r ratio 2.1", good rot resistance frequently used in boatbuilding applications.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 overcup oak,, eastern united states," 60-90 ft (18-27 m) tall, 2-3 ft (.6-1 m) trunk diameter", 47 lbs/ft3 (760 kg/m3)," 1,190 lbf (5,290 n)"," 12,600 lbf/in2 (86.9 mpa)"," 1,420,000 lbf/in2 (9.80 gpa)"," 6,200 lbf/in2 (42.8 mpa)","radial 5.3%, tangential 12.7%, volumetric 16.0%, t/r ratio 2.4", overcup oak has been rated as having very good resistance to decay.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 post oak,, eastern united states," 40-60 ft (12-18 m) tall, 1-3 ft (.3-1 m) trunk diameter",47lbs/ft3 (750 kg/m3)," 1,350 lbf (5,990 n)"," 13,070 lbf/in2 (90.1 mpa)"," 1,495,000 lbf/in2 (10.31 gpa)"," 6,530 lbf/in2 (45.1 mpa)","radial 5.4%, tangential 9.8%, volumetric 16.2%, t/r ratio 1.8"," post oak has been rated as having very good resistance to decay. it is said that this wood has been used for fence posts, and may be where it got its name."," easy to glue, and takes stain and finishes very well."," fence posts, cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 sessile oak,," most of europe, to asia minor"," 80-115 ft (24-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 44 lbs/ft3 (710 kg/m3)," 1,120 lbf (4,990 n)"," 14,080 lbf/in2 (97.1 mpa)"," 1,518,000 lbf/in2 (10.47 gpa)"," 6,860 lbf/in2 (47.3 mpa)","radial 4.5%, tangential 9.7%, volumetric 14.2%, t/r ratio 2.2"," sessile oak has been rated as having very good resistance to decay, and is commonly used in boatbuilding applications."," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 swamp chestnut oak,, southern and central united states," 60-80 ft (18-24 m) tall, 2-3 ft (.6-1 m) trunk diameter",49lbs/ft3 (780 kg/m3)," 1,230 lbf (5,460 n)"," 13,760 lbf/in2 (94.9 mpa)"," 1,753,000 lbf/in2 (12.09 gpa)"," 7,200 lbf/in2 (49.6 mpa)","radial 5.2%, tangential 10.8%, volumetric 16.4%, t/r ratio 2.1"," swamp chestnut oak has been rated as being moderately durable, and moderately resistant to decay."," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
 swamp white oak,, eastern and midwestern united states," 50-80 ft (15-24 m) tall, 2-4 ft (.6-1.2 m) trunk diameter", 48lbs/ft3 (765 kg/m3)," 1,600 lbf (7,140 n)"," 17,400 lbf/in2 (120.0 mpa)"," 2,029,000 lbf/in2 (13.99 gpa)"," 8,400 lbf/in2 (57.9 mpa)","radial 5.5%, tangential 10.6%, volumetric 17.7%, t/r ratio 1.9", swamp white oak has been rated as having very good resistance to decay.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer."
" live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak","mmon Name(s)::: live oak, southern live oak"
, southeastern united states," 40-60 ft (12-18 m) tall, 4-6 ft (1.2-1.8 m) trunk diameter"," 63 lbs/ft3 (1,000 kg/m3)"," 2,680 lbf (12,920 n)"," 18,220 lbf/in2 (125.6 mpa)"," 1,960,000 lbf/in2 (13.52 gpa)"," 8,810 lbf/in2 (60.8 mpa)","radial 6.6%, tangential 9.5%, volumetric 14.7%, t/r ratio 1.4"," live oak has been rated as having very good resistance to decay, and has been used frequently in ship and boatbuilding."," easy to glue, and takes stain and finishes very well. though, due to its incredible density, (especially for an oak), live oak is harder to work with than other species of the quercus genus."," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.","ferencing wood the only downside is that its latin, and doesnt make much sense to most english-speaking people. the name is listed in two parts [genus species]. when two or more species are included in a genus under a single common name, only the genus will be listed, with *spp.* afterward."" href=""http//www.wood-database.com/wood-articles/scientific-name/"">scientific namequercus virginiana;;;Distribution::: southeastern united states;;;Tree Size::: 40-60 ft (12-18 m) tall, 4-6 ft (1.2-1.8 m) trunk diameter;;;Average Dried Weight::: 63 lbs/ft3 (1,000 kg/m3);;;Janka Hardness::: 2,680 lbf (12,920 n);;;Modulus of Rupture::: 18,220 lbf/in2 (125.6 mpa);;;Elastic Modulus::: 1,960,000 lbf/in2 (13.52 gpa);;;Crushing Strength::: 8,810 lbf/in2 (60.8 mpa);;;Shrinkage:::radial 6.6%, tangential 9.5%, volumetric 14.7%, t/r ratio 1.4;;;Rot Resistance::: live oak has been rated as having very good resistance to decay, and has been used frequently in ship and boatbuilding.;;;Workability::: easy to glue, and takes stain and finishes very well. though, due to its incredible density, (especially for an oak), live oak is harder to work with than other species of the quercus genus.;;;Common Uses::: cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.;;;"
tanoak,notholithocarpus densiflorus,western united states,"65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",42 lbs/ft3 (675 kg/m3),"1,420 lbf (6,290 n)","16,650 lbf/in2 (114.8 mpa)","2,071,000 lbf/in2 (14.29 gpa)","8,250 lbf/in2 (56.9 mpa)"," radial 4.9%, tangential 11.7%, volumetric 17.3%, t/r ratio 2.4",rated as non-durable to perishable; poor insect resistance.,"good workability with machine or hand tools, though lumber can be challenging to dry without defects or discoloration. poor dimensional stability. glues, stains, and finishes well.","veneer, flooring, railroad cross-ties, and furniture."
" turkey oak, turkish oak",, europe and asia minor," 80-120 ft (25-37 m) tall, 4-6 ft (1.2-2.0 m) trunk diameter", 45 lbs/ft3 (720 kg/m3)," 1,200 lbf (5,340 n)*"," 16,570 lbf/in2 (114.3 mpa)"," 1,568,000 lbf/in2 (10.81 gpa)"," 8,170 lbf/in2 (56.4 mpa)","radial 6.0%, tangential 10.0%, volumetric 16.0%, t/r ratio ~1.7", falls somewhere between durable and moderately durable., turkey oak is said to work similarly to oaks found in the united states., no data available.
obeche,triplochiton scleroxylon,"<span style=""line-height 1.5em;"">tropical west africa</span>","65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",24 lbs/ft3 (380 kg/m3),"430 lbf (1,910 n)","8,820 lbf/in2 (60.8 mpa)","970,000 lbf/in2 (6.69 gpa)","4,250 lbf/in2 (29.3 mpa)"," radial 3.1%, tangential 5.3%, volumetric 8.7%, t/r ratio 1.7", rated as non-durable; poor insect resistance and liable to fungal staining and discoloration if not dried promptly.," generally easy to work, though the interlocked grain can cause some rough surfaces in some machining operations. carves, stains, glues, and finishes well."," veneer, plywood, carvings, furniture, and interior millwork."
ohia," metrosideros spp. (m. collina, m.polymorpha)",pacific islands,"65-100 ft (20-30 m) tall, 2-4 ft (.6-1.2 m) trunk diameter",57 lbs/ft3 (915 kg/m3),"2,040 lbf (9,070 n)","18,260 lbf/in2 (125.9 mpa)","2,269,000 lbf/in2 (15.65 gpa)","9,170 lbf/in2 (63.2 mpa)"," radial 6.9%, tangential 12.1%, volumetric 19.1%, t/r ratio 1.8", rated as non-durable to perishable; good insect resistance.,"generally difficult to work on account of its high density and interlocked grain. ohia also has a rather large movement in service, as evidenced by its high shrinkage values."," furniture, flooring, and turned objects."
"okoume, gabon",aucoumea klaineana,central africa (primarily gabon),"100-130 ft (30-40 m) tall, 3-6 ft (1-1.8 m) trunk diameter",27 lbs/ft3 (430 kg/m3),"400 lbf (1,790 n)","10,870 lbf/in2 (75.0 mpa)","1,228,000 lbf/in2 (8.47 gpa)","5,250 lbf/in2 (36.2 mpa)"," radial 4.6%, tangential 7.1%, volumetric 12.2%, t/r ratio 1.5",rated as non-durable; poor insect resistance.,high silica content has a pronounced blunting effect on cutters. planing and shaping may produce tearout or fuzzy surfaces. glues and finishes well.," veneer, plywood, boatbuilding, musical instruments, furniture, and interior millwork."
 olive," olea spp. (olea europaea, o. capensis)", europe and eastern africa," 25-50 ft (8-15 m) tall, 3-5 ft (1.0-1.5 m) trunk diameter", 62 lbs/ft3 (990 kg/m3)," 2,700 lbf (12,010 n)"," 22,530 lbf/in2 (155.4 mpa)"," 2,577,000 lbf/in2 (17.77 gpa)"," 11,180 lbf/in2 (77.1 mpa)"," radial 5.4%, tangential 8.8%, volumetric 14.4%, t/r ratio 1.6", conflicting reports range from non-durable/perishable to durable/moderately durable. olive is susceptible to insect attack.," somewhat easy to work, though wild or interlocked grain may result in tearout during surfacing operations. olive has high movement in service and is considered to have poor stability. turns superbly. glues and finishes well."," high-end furniture, veneer, turned objects, and small specialty wood items."
 russian olive, elaeagnus angustifolia, native to eastern europe and western and central asia; naturalized throughout north america," 20-35 ft (6-10 m) tall, 1 ft (.3 m) trunk diameter", 43 lbs/ft3 (685 kg/m3)," 1,240 lbf (5,530 n)*", no data available, no data available, no data available,no data available, no data available., no data available.," knife scales, bowls, pens, and other small woodturning projects."
" macacauba, macawood, hormigo, orange agate"," platymiscium spp. <br />(p. dimorphandrum,p.pinnatum, p. trinitatis,p. ulei)", central and south america," 65-80 ft (20-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",59 lbs/ft3 (950 kg/m3)," 2,700 lbf (12,030 n)"," 21,540 lbf/in2 (148.6 mpa)"," 2,837,000 lbf/in2 (19.56 gpa)"," 11,700 lbf/in2 (80.7 mpa)"," radial 2.8%, tangential 4.2%, volumetric 7.2%, t/r ratio 1.5"," heartwood is rated as durable to very durable regarding decay resistance, with good resistance to insect attacks as well."," overall, good working characteristics for both hand and machine tools, though areas of interlocked grain should be approached with care to avoid tearout. able to take a very high natural polish. turns and glues well."," furniture, cabinetry, veneer, musical instruments, turned objects, and small specialty wood items."
" queensland walnut, orientalwood", endiandra palmerstonii, northern queensland (australia)," 120-140 ft (37-43 m) tall, 4-6 ft (1.2- 1.8 m) trunk diameter",  43 lbs/ft3 (685 kg/m3)," 1,670 lbf (7,380 n)"," 14,570 lbf/in2 (100.5 mpa)"," 1,656,000 lbf/in2 ( 11.42 gpa)"," 9,950 lbf/in2 (68.6 mpa)"," radial 4.5%, tangential 8.6%, volumetric 13.1%, t/r ratio 1.9", generally regarded as being between moderately durable and non-durable regarding decay resistance. queensland walnut is also quite susceptible to insect attack.," queensland walnut can cause troubles in two areas it can be difficult to plane if there is interlocked grain present, and it has a reported silica content of 0.19% to 1.08%, making it highly blunting to cutting edges. other than these issues, the wood glues, stains, and finishes well."," cabinetry, flooring, millwork, furniture, and veneers."
" osage orange, horse apple, hedge apple, bois d'arc",, south-central united states," 50-60 ft (15-18 m) tall, 1-2 ft (.3-.6 m) trunk diameter",  54 lbs/ft3 (855 kg/m3)," 2,760 lbf (12,280 n)"," 18,650 lbf/in2 (128.6 mpa)","  1,689,000 lbf/in2 (11.64 gpa)"," 9,380 lbf/in2 (64.7 mpa)*","radial 3.8%, tangential 5.6%, volumetric 9.2%, t/r ratio 1.5<br />", osage orange is extremely durable and is considered to be one of the most decay resistant woods in north america.," working this osage orange can be difficult due to its hardness and density, though it is reported to have little dulling effect on cutting edges. it turns well, and also takes stains, glues and finishes well."," fence posts, dye, archery bows, musical instruments, turnings, and other small specialty wood items."
